secid,date,low,high,open,close
108105,20120417,1369.57,1392.76,1369.57,1390.78
108105,20120418,1383.29,1390.78,1390.78,1385.14
108105,20120419,1370.3,1390.46,1385.08,1376.92
108105,20120420,1376.96,1387.4,1376.96,1378.53
108105,20120423,1358.79,1378.53,1378.53,1366.94
108105,20120424,1366.82,1375.57,1366.97,1371.97
108105,20120425,1372.11,1391.37,1372.11,1390.69
108105,20120426,1387.28,1402.09,1390.64,1399.98
108105,20120427,1397.31,1406.64,1400.19,1403.36
108105,20120430,1394,1403.26,1403.26,1397.91
108105,20120501,1395.73,1415.32,1397.86,1405.82
108105,20120502,1393.92,1405.5,1405.5,1402.31
108105,20120503,1388.71,1403.07,1402.32,1391.57
108105,20120504,1367.96,1391.51,1391.51,1369.1
108105,20120507,1363.94,1373.91,1368.79,1369.58
108105,20120508,1347.75,1369.16,1369.16,1363.72
108105,20120509,1343.13,1363.73,1363.2,1354.58
108105,20120510,1354.58,1365.88,1354.58,1357.99
108105,20120511,1348.89,1365.66,1358.11,1353.39
108105,20120514,1336.61,1351.93,1351.93,1338.35
108105,20120515,1328.41,1344.94,1338.36,1330.66
108105,20120516,1324.79,1341.78,1330.78,1324.8
108105,20120517,1304.86,1326.36,1324.82,1304.86
108105,20120518,1291.98,1312.24,1305.05,1295.22
108105,20120521,1295.73,1316.39,1295.73,1315.99
108105,20120522,1310.04,1328.49,1316.09,1316.63
108105,20120523,1296.53,1320.71,1316.02,1318.86
108105,20120524,1310.5,1324.14,1318.72,1320.68
108105,20120525,1314.23,1324.2,1320.81,1317.82
108105,20120529,1318.9,1334.93,1318.9,1332.42
108105,20120530,1310.76,1331.25,1331.25,1313.32
108105,20120531,1298.9,1319.74,1313.09,1310.33
108105,20120601,1277.25,1309.87,1309.87,1278.04
108105,20120604,1266.74,1282.55,1278.29,1278.18
108105,20120605,1274.16,1287.62,1277.82,1285.5
108105,20120606,1285.61,1315.13,1285.61,1315.13
108105,20120607,1312.68,1329.05,1316.15,1314.99
108105,20120608,1307.77,1325.81,1314.99,1325.66
108105,20120611,1307.73,1335.52,1325.72,1308.93
108105,20120612,1306.62,1324.31,1309.4,1324.18
